role,experience_level,languages,tech_keywords,projects
"MSIN@CMU, building database & large scale data systems",Intermediate,"['C++', 'C', 'JavaScript', 'HTML', 'Shell']","['basic', 'flutter_chips_choice', 'karaoke', 'qlink', 'infinite_scroll_pagination', 'tracer', 'SurviveSJTUManual', 'lsm', 'interpreter', 'FeelIt']","['上海交通大学自动评教脚本', 'An interpreter for the Basic language, featuring interactive GUI and debug mode. Course project of SEP@SJTU-SE.', 'Hugo blog', 'Implements a simple, half functional half object-oriented language Lox in Java.', 'A clean, elegant but advanced blog theme for Hugo', 'Lite version of smart_select package, zero dependencies, an easy way to provide a single or multiple choice chips.', 'Provides login screen with login/signup functionalities to help speed up development', 'Flutter package to help you lazily load and display pages of items as the user scrolls down your screen.', 'Course project of SE123@SJTU-SE.', 'Kilo is a trivial text editor that implements some fundamental features of a editor without dependencies on any external libraries.', 'LSM Tree implementation, project of Advanced Data Structures@SJTU-SE.', 'Course project of SEP@SJTU-SE', ""This is an implementation of the ray tracer introduced in Peter Shirley's ray tracing book series."", 'An OLAP database system for educational purpose', '更新2008年版本的《上海交通大学生存手册》gitbook发布于https://survivesjtu.gitbook.io/survivesjtumanual/']"
"Crestron Sr. Technical Trainer and Curriculum Developer.
Gold Master Programmer, 
Over 26 years of experience with programming in the AV and Automation World",Beginner,"['C#', 'CSS', 'JavaScript', 'HTML']","['Crestron', 'CrestronCSharpExamples', '2023', '421', 'Masters2021', '101', 'Masters', 'MCP', 'Masters2022', 'MSS431']","['Code from the Masters 2023 MSS421 class', 'Code Examples from the Crestron C# Video Series', 'Files from Masters 2021 MCP-101 Class', 'Resources for the Crestron Masters 2022 Class MSS-431 Intermediate C# for Crestron']"
Full Stack Developer,Intermediate,"['JavaScript', 'CSS', 'HTML', 'Shell', 'Handlebars']","['codrkai.github.io', 'Tutorial', 'weather_app', 'node_react_mysql_db_tutorial', 'Git', 'todo_app', 'node_react_tutorial', 'ReactJS_with_backend_and_frontend', 'node_express_handlebars', 'tutorials']","['person portfolio page', 'How to use Git and Github with Visual Studio Code', 'An iPhone 14 Pro dynamic island style website', 'How to program in Next JS - Basics, Page Routing, CSS, SEO and Meta Tags', 'Next JS Tutorial covering dynamic pages, layouts, and cloud database (MongoDB)', 'tutorial on using Node with Express Handlebars (hbs)', 'How to create a full CRUD Node Website with a cloud database (mongodb) and a content management system', 'How to connect Mongoose (MongoDB) to a node handlebars project', 'Node Tutorial: Setting up a simple http server to display html pages.', 'Node JS React Hooks Tutorial using UseState and UseEffect', 'This tutorial is a continuation of my node js react project. This will add a mongoose database using mongodb and stepping you through how to setup clusters, collections, and documents using mongodb, as well as using code to insert and look up data from the database.', 'How to use MySQL with Node and React JS', 'Python Tutorials', 'Sketch any photo using python', 'React JS Setup with Frontend and Node JS Backend']"
Software Engineer | Google Distributed Cloud - Edge,Intermediate,"['Shell', 'Makefile', 'C++', 'HTML', 'JavaScript']","['GRE_AW_Sample', 'datanano', 'key.pub', 'LintcodeSolution', 'kernel', 'Stochastic', 'onepage', 'ONScripter', 'Three', 'Translation']","['Personal website again.', 'A cluster consistency platform', 'Obsolete Repository of Udacity Data Science Courses', 'Public repository for course materials for the Summer 2014 session of Introduction to Data Science, an online coursera course.', 'Video analysis of movement on DM642 DSP board. Obsolete and refer to DM642_to_Jetson repo.', 'Port video surveillance program from DM642 to Jetson TK1 board.', 'Apply PELCO-D protocol to control holder, via UART in DM642 board.', 'A general purpose object detection framework.', 'GRE writing samples from smartpigai.com', 'Elegant and powerful theme for Hexo.', '一个简洁优雅的hexo主题 ; A simple and elegant theme for hexo.', '(Uncomplete) A simple Python based program to calculate power flow in grid in China.', 'Source code of IoT data analysis for ECE6607 course.', 'gpg public key', 'LintCode Solution', 'Automatically exported from code.google.com/p/mtex-kernel', 'A simple template to generate one page html from markdown', 'Mirror of ONScripter official source code.', 'MATLAB code to illustrate moving object detection by three-frame difference method.', 'Chinese translation of the book ""Stochastic Systems: Estimation, Identification, and Adaptive Control"".', 'A collection of utility tools and scripts.']"
"Professor of Data Science
Wesleyan University",Intermediate,"['R', 'HTML', 'JavaScript', 'CSS', 'Sass']","['R', 'SCASA41', 'factorAnalysis', 'qacBase', 'qacMiss', 'twitch', 'datavis_support', 'qacr', 'Intro', 'RBootcamp']","['Code files for the book ""Modern Data Visualization in R""', 'Development version of R package qacBase', 'Data sets for teaching Data Science', 'Dimension Reduction', 'R package for multiple and logistic regression.', 'Files for Wesleyan R workshop', 'Source code for Kabacoff, R. R in Action (3rd edition). Manning: Boca Raton, FL.', 'Modern Data Visualization with R', 'Twitch - Manning Presentation on Modern Data Visualization in R', 'Course notes for a one day course on ggplot2']"
"This account is inactive. Previously Wine hacker at CodeWeavers. Personal account: @ColdPie1.

(Profile photo by Hans Hillewaert, used under CC BY-SA 4.0.)",Intermediate,"['Shell', 'C', 'C++', 'Makefile', 'Python']","['dav1d', 'api', 'user.js', '1', 'win32', 'wine', 'SDK', 'vkd3d', 'runtime', 'rs']","['The Rust package manager', 'libdav1d rust bindings', 'DXIL conversion to SPIR-V for D3D12 translation libraries', 'Vulkan-based D3D11 implementation for Linux / Wine', 'FAudio - Accuracy-focused XAudio reimplementation for open platforms', 'A serialization format for various persistent Vulkan object types.', 'Rust crate for writing GStreamer plugins and various plugins - This repository moved to https://gitlab.freedesktop.org/gstreamer/gst-plugins-rs', 'A Simple library for communicating with USB and Bluetooth HID devices on Linux, Mac and Windows.', 'Mono open source ECMA CLI, C# and .NET implementation.', 'OpenVR SDK', 'Sources for OpenXR loader, basic API layers, and example code.', 'Compatibility tool for Steam Play based on Wine and additional components', 'Public contributions for win32 API documentation', 'A runtime environment for Steam applications', 'Vagrant is a tool for building and distributing development environments.', ""Fork of VKD3D. Development branches for Proton's Direct3D 12 implementation."", 'Tutorial for the Vulkan graphics and compute API', 'Public mirror for win32-pr', 'Wine with a bit of extra spice']"
Apache Beam Committer. Software Engineer @ Google,Intermediate,"['JavaScript', 'Python', 'TypeScript', 'HTML', 'Java']","['stats', 'pipelines', 'it', 'DistributedGraphProcessingSystem', 'javascript', 'pr', 'jira', 'analysis', 'take', 'beam']","['Apache Airflow - A platform to programmatically author, schedule, and monitor workflows', 'Lib for creating CI/CD tool installer tasks in Azure Pipelines', 'Repo to backfill pr labels for a repo based on the same config as actions/labeler', 'Apache Beam is a unified programming model for Batch and Streaming', 'A Javascript SDK for Beam', 'Repo to demonstrate the pr-bot working', 'Apache Beam Site', 'Projects from my undergraduate/masters classes at Vanderbilt', 'github pull requests builder plugin for Jenkins', 'Fun repo for creating a pipeline based on public PredictIt data', 'Example streaming pipeline in Go', 'Repo for migrating from Jira to GitHub issues', 'Playground for demonstrating things', 'Github action to print relevant stats about Pull Request reviewers', 'A search engine that I built. Has options to use spidering(for general web use) or crawling(for local and/or static sites)', 'Repo for tracking stale items across GitHub and Azure Pipelines', 'tag-ur-it action', 'This is an action to assign yourself or close an issue for a repo you are not a contributor to']"
"Web Developer, Former HTML W3C Invited Expert, Former Google Developer Expert in Web Technologies, @thewebplatform podcast host. #WebComponents nut. ",Intermediate,"['JavaScript', 'HTML', 'CSS', 'TypeScript', 'Ruby']","['2', 'input', 'list', 'button', 'select', 'img', 'checkbox', 'ruby_learning_course', 'fresh', 'overlay']","['A space for the webcomponents community', 'Experiment', 'Replace <img /> elements with <img-2> to automatically pre-cache images and improve page performance.', 'A filterable and shareable version of the WCAG 2.0 spec.', ""Website for Mozilla's Brick components"", ""A pair programming badge Web Component inspired by Avdi Grimm's pairprogramwith.me"", 'code for excercises', 'A simple star rating custom element', 'A Polymer component for Stripe Payments - ', 'A collection of Web Components examples & sketches', 'WebComponents.org is where community-members document Web Components best practices']"
"I am a Senior Program Manager in the Open Source Programs Office @Microsoft. Also a cyclist, horseback rider, and cook.",Intermediate,"['PowerShell', 'HTML', 'Python', 'CSS', 'JavaScript']","['organization', 'citus', 'sp', 'dev', 'windows', 'legalcode', 'codingchallenges', 'nuget', 'itpro', 'commercialization']","['Distributed PostgreSQL as an extension', 'Documentation for Citus. Distributed PostgreSQL as an extension.', 'Coding Challenges for Carol', 'Windows hardware documentation for Microsoft partners.', 'Contains curations submitted by the community', 'This repository contains .NET Documentation.', 'Documentation repo for NuGet', 'Non-code organizational topics for the project', 'SharePoint Developer Documentation', 'Website for clearlydefined.io', 'This is used for contributions to the Windows 10 content for IT professionals on docs.microsoft.com.', 'Conceptual\xa0and overview content for\xa0developing Microsoft Universal Windows Platform (UWP) apps']"
My views and opinions are my own and do not represent my employer's.,Expert,"['Python', 'Shell', 'Dockerfile', 'TypeScript', 'HTML']","['asdf', 'workshop_AAS235', 'softcarp', 'aas239', 'check_astropy_changelog', 'astrogrism', 'check_pr_basebranch', 'publish_to_pypi', '06', '27']","['Software Carpentry Instructor Training exercise', 'Action running Astropy stalebot', 'GitHub Action to check if change log entry conforms to Astropy format', 'Check if milestone is assigned', 'GitHub Action to check if PR is opened against allowed base branch', 'Github action definition to allow for publication of a python package to PyPI upon a qualifying release event.', 'Prevent downstream jobs from running based on commit message', 'Comment on PR opened on special day(s)', 'GitHub Action to check towncrier changelog', 'GitHub Action to auto cancel duplicate workflows', 'Open issue if cfitsio has a new release', 'GitHub Action to open issue on new WCSLIB release', 'Lightweight, configurable Sphinx theme', 'ASDF (Advanced Scientific Data Format) is a next generation interchange format for scientific data', 'Community Submitted Conda Recipes', 'Tools for making image cutouts from sets of TESS full frame images', 'MOS Data Analysis package for HST and JWST Grism Observations', 'Astronomical Image Convenience Tools', 'Workshop material for the AAS235 meeting', 'Astronomical data sonification.', 'Observation planning package for astronomers', 'Main AstroPy repository', 'A repository storing the Astropy Proposals for Enhancement.', 'Benchmarks for the astropy project', 'Repository on which the astropy-bot-experimental bot is live', 'Parser for the Astropy changelog format - maintainer: @astrofrog']"
Engineer,Expert,"['Shell', 'Python', 'C', 'HTML', 'C++']","['', 'Structure', 'prototype', 'dhruvvyas90.github.io', 'rtl8188', 'allinone', 'Ptokax', 'netmap', 'great_expectations', 'OS']","['Collection of 8188 eu drivers for Raspberry pi - (3.6.11+ to 4.1.xx kernel)', 'AFINN sentiment analysis in Python', 'The hackable text editor :atom:', ""Homepage for the National Football League's Big Data Bowl"", 'The official git repository for Contiki, the open source OS for the Internet of Things', 'CyberBullying project at UIowa', ""Electricity monitoring library - install in Arduino IDE's libraries folder then restart the IDE"", 'Folder / directory structure options and naming conventions for software projects', 'QT-based gcode user interface for grbl on arduino', 'Always know what to expect from your data.', 'A small python tool for creating positive text file for OpenCV haar training.', 'Instructions for building an almost consumer hardware based prototype of a hearing aid', 'Up to date hostapd with RTL8188 drivers', 'shell scripts to install different version of OpenCV in different distributions of Linux', 'Multi-engine SMT-based automatic model checker for safety properties of Lustre programs', 'A Modbus library for Linux, Mac OS X, FreeBSD, QNX and Windows', 'Linux kernel source tree', 'MansOS WSN/embedded operating system', 'This code is developed for the NesC users who can generate direct NesC code using this application.', 'Automatically exported from code.google.com/p/netmap', 'A visual tool for wiring the Internet of Things', 'Patch for The Network Simulator (ns-2) all-in-one package v2.35 installer, for Mac OS 10.9.', 'A bash script for installing ns2 on Mac OS X 10.9+', 'Open Source Computer Vision Library', 'A framework to allow Embedded Devices Remote Access', 'OpenRefine is a free, open source power tool for working with messy data and improving it', 'The Physical Web: walk up and use anything', 'A shell script to install PtokaX on a debian based computer']"
,Expert,"['Shell', 'Makefile', 'Clojure', 'Scheme', 'Ruby']","['cue', 'missing', 'android', 'ehgml', 'kondo', 'ChezScheme', 'dotfiles', 'clj2nix', 'keyboard', 'eql']","['Apple Coder utility', 'An alternate build system for Android', 'An open-source graph database', 'Chez Scheme ', 'Hygienic Literate Programming for Chez Scheme', 'Infix operators for common lisp', 'Forward-chaining rules in Clojure(Script)', 'Clara Web Site source', 'A linter for Clojure code that sparks joy.', 'Convert deps.edn to a nix expression', 'Clojure to JS compiler', 'An Objective-C library package manager.', 'The new home of the CUE language! Validate and define text-based and dynamic configuration', 'Dactyl-ManuForm, a parameterized ergonomic keyboard translated into Python including a cadquery / Open CASCADE implementation.', 'Fast and pretty Clojure test runner', 'ICFP 2000 ray tracer', 'Vim plugin for writing hacks in various languages super quick', 'What @eraserhd knows', 'Read-only mirror of file CVS repository, updated every half hour. NOTE: do not make pull requests here, nor comment any commits, submit them usual way to bug tracker or to the mailing list. Maintainer(s) are not tracking  this git mirror.', 'Solver for the mobile ""Flow"" game', 'FZF  for Kakoune. Mirror of https://gitlab.com/andreyorst/fzf.kak', ':mag: A better fuzzy finder', 'Gambit is an efficient implementation of the Scheme programming language.', 'Binding to the libgd library from Haskell.']"
"23, MS CS at University of California, San Diego",Expert,"['Jupyter Notebook', 'Python', 'C++', 'C', 'Java']","['Artificial', 'DeepRacerThesis', 'LinuxAdmin', 'HotelManagement', 'bash', 'Airline', 'handbook', 'ML', 'Certificates', 'Analysis']","['Software to manage airlines flights and ticketing  ', 'This repository contains the source code for online airline mangement system done as a part of VI semester coursework associated with Mini Project', 'Programs for Design And Analysis of Algorithms SEM - IV', 'Source code for Apps Developed for Android & iOS using Flutter SDK', 'AI Lab semester 5', ':book: For those who wanna learn Bash', 'This repository contains the source code for my submission for Chess Configuration Detection on Ai crowd', 'Work done in clickbait classification in various languages using transformer models', 'Repository containing the certificates of completed online courses', 'Programs for Data Structures Lab SEM - III', 'Programs for DataBase Mangament Systems Laboratory SEM - IV', 'Program that emulates end to end encryption by using dynamic running key cipher', 'Two stage model to predict if a flight is delayed and if so, the amount of delay in minutes. Trained using data from 18,00,000 flights of which ~ 30% were delayed', 'Final project for version control system using GIT course on coursera', 'Contains the work done as a part of VII semester Graphics and Multimedia Lab using Open GL', 'Command Line program to manage a hotel, capable of handling reservations using priority queues', 'Repository containing my submissions in Kaggle contests', 'Library for Competitive Programming', 'Basic Linux system administration tools', 'All resources and code used in the machine learning sessions.', 'README for profile', 'This repository contains source code for my portfolio webpage', 'Assembly Language programs written for 8086 microprocessor', 'ML Assignments', 'This repository contains code for the paper ""Sign Language Translation using Multi Context Transformer"", presented at the 20th Mexican International Conference on Artificial Intelligence (2021), Mexico City, Mexico.', 'Network Programming in C', 'Programs for Object Oriented Programming using Java Lab SEM - III']"
"Phaser Editor 2D official account.

IDE for HTML5 2D game development.",Expert,"['JavaScript', 'TypeScript', 'HTML', 'Shell', 'Go']","['packer', 'gziphandler', 'roundedRectangleGraphics', 'golang', 'phaser', 'icons', 'button', 'launcher', 'tex', 'day']","['Source code of the Animations Editor vide demo.', 'Each Blender interface icon in a separate file', 'A Go-based server utils for the Colibri platform.', 'A utility for packing Colibri resources and products.', 'golang copy directory recursively', 'Awesome list about tech sites/services restricted for Cuba', ""Implements support for double star (**) matches in golang's path.Match and filepath.Glob."", 'Free texture packer core', 'Go middleware to gzip HTTP responses', 'A help center for Phaser 3.', 'Demo project to show how to create buttons with Phaser Editor 2D user components.', 'Phaser is a fun, free and fast 2D game framework for making HTML5 games for desktop and mobile web browsers, supporting Canvas and WebGL rendering.', 'A script for hashing the Phaser Asset Pack files', 'A great new way to search the Phaser documentation', 'Fast and powerful tool for Phaser v3 documentation & examples navigation.', 'Only the public assets from the Phaser Examples. Made for tools.', 'Phaser 3 Warp Post FX Pack', 'A friendly IDE to develop HTML5 games based on the Phaser framework.', 'Profile readme', 'Phaser Editor 2D launcher for NPM based projects.', 'Marketplace for the Phaser Editor 2D & Phaser community. With projects templates, examples, and more.', 'NinePatch plugin for Phaser Editor 2D', 'Phaser Editor 2D plugin for supporting Rive.app animations.', 'A Phaser Editor 2D plugin with support for the RoundedRectangle game object.', 'A Phaser Editor 2D plugin with support for a rounded rectangle graphics object.', 'Audio scripts for Phaser Editor 2D.']"
"Microsoft MVP, 
Senior Technical Architect, 
Author of PCF Builder",Expert,"['JavaScript', 'C#', 'TypeScript', 'CSS', 'PowerShell']","['sample', 'learn', 'CustomControlBuilder', 'Functions', 'platform', 'PluginBase', 'Maverick', 'Identity', 'monaco', 'docs']","['This repository is mainly used for the R&D of the Azure AI, .NET & Power Platform', 'ApplicationInsightsManager plugin for XrmToolBox and Microsoft Dynamics 365 / CRM', 'A collection of awesome things regarding the Power Platform ecosystem.', 'Official documentation for the Azure Bot Service', 'Welcome to the Bot Framework Skills repository which is the home for a re-usable Skills help build advanced conversational experiences using Azure Bot Service and Bot Framework. Microsoft Bot Framework is a comprehensive framework for building enterprise-grade conversational AI experiences.', 'VS Code extension for building web applications (""swings"") using a interactive and editor-integrated coding environment', 'A React-based project to create the base page for Dataverse DevTools VS Code extension', 'The all-in-one tool to develop code for Dataverse/Dynamics 365. Helps you connect to a Dataverse environment, generate TypeScript definitions for entities, create a different type of Dataverse-specific projects, and much more.', 'The repository for high quality TypeScript type definitions.', 'A demo control for all D365 Saturday Event.', 'An XrmToolBox tool to generate all the dependencies at one shot', 'Plugins for the XrmToolBox', 'Dataverse REST Builder', 'A DOM library for generating TypeScript declaration (.d.ts) files', 'public repo for dynamics365 customer-engagement docs', 'FetchXML Builder for XrmToolBox and Microsoft Dynamics 365 / CRM', 'Yeoman generator to kickstart your Power Apps Component Framework project.', 'Zoom Video SDK Web Sample App', 'Collection of all the mentoring sessions will be available here.', 'Samples for using the Monaco Editor', 'Build your Power Apps Component Framework custom controls faster. No need to remember the PCF CLI commands. All commands provided in one selection list for you to execute. https://marketplace.visualstudio.com/items?itemName=danish-naglekar.pcf-builder', 'Repos of Powerapps Component Framework (PCF) Controls', 'XrmToolBox Plugin for building and deploying custom control using PCF', 'Microsoft Dynamics CRM / 365 plugin base class', 'Repository that provides content for each video session with code, detailed instructions, etc.', 'Technical Documentation for Microsoft PowerApps', 'Demo repository to show how to use Managed Identity on Azure Functions to connect to Power Apps Web API.', 'The ultimate collection of extensions for Power Platform!']"
,Expert,"['Racket', 'Shell', 'CSS', 'Makefile', 'HTML']","['pl', 'iracket', 'crypto', 'compare', 'parser', 'mrlib', 'drracket', 'base64', 'tools', 'binaryio']","['Racket code for ASN.1', 'Racket compiled-load handle for avoiding ""link: module mismatch"" errors', 'A database interface for functional programmers', 'DrRacket, IDE for Racket', 'Frog is a static web site generator implemented in Racket, targeting Bootstrap and able to use Pygments.', 'Probabilistic Programming', 'Jupyter kernel for Racket', 'Macros and Languages in Racket', 'Password Generation using Markov models, Huffman trees, and Charles Dickens', 'Additional libraries for racket/gui, particular editors and snips', 'progressive picts', 'Little interpreters and tool prototypes for probabilistic languages', 'The Racket repository']"
I like cheese.,Expert,"['JavaScript', 'Shell', 'HTML', 'Python', 'Makefile']","['jokes', 'bk', 'rendering', 'qrcodemultilang', 'zop', 'golang', 'php', 'api', 'do', 'functions']","['A curated list of code and resources for computer-controlled drawing machines and other visual art robots.', 'A Makefile to extract figures from _Beekeeping_ by Everett Franklin Phillips, Ph.D.', 'metalsmith source for boucheron.org', 'A CLI for peer-to-peer file sharing using the Hypercore Protocol.', 'A library for accessing Line-us drawing robots via Node.js and the browser.', ""A Node.js wrapper for SunsetWx's Sunburst API, which provides sunset and sunrise quality forecasts."", ""The OpenAPI v3 specification for DigitalOcean's public API."", 'HTML to PDF rendering Microservice based on Puppeteer/ Chrome. Self-hosted service for rendering PDFs', 'Some noodley bits for plotting with chiplotle', 'Doodles to fiddle around with my Roland DPX-3300 plotter', 'A PHP helloworld sample function for Cloud Functions', ""Scraping weather alerts from the US National Weather Service's XML feed"", 'Load shapefiles into a SQLite (optionally SpatiaLite) database', 'Web page PDF/PNG rendering done right. Self-hosted service for rendering receipts, invoices, or any content.', 'A Datasette instance exposing names, FIPS codes and polygons of US counties', 'Eyebleed-worthy node code to slurp up some tweets. Sorry.']"
,Expert,"['Go', 'Shell', 'Dockerfile', 'Makefile', 'Python']","['fn', 'clusterhelper', 'transparency', '2', 'caching', 'application', 'client', 'GPT', '1', 'cloudschedulersource']","['Repository for sharing org-wide Github metadata and workflow templates.', 'Repository for sharing org-wide Github metadata and workflow templates.', 'A collection of reusable Github Actions workflows.', 'Generic webhook controller / proxy for ease of integration with Styra in particular.', 'Security advisory data for Wolfi', 'Library for writing a Kubernetes-style API server.', 'Build OCI images from APK packages directly without Dockerfile', 'Curated applications for Kubernetes using Deployment Manager templates', 'This just contains various versions of attestations for testing things with different versions of cosign.', 'An experimental open-source attempt to make GPT-4 fully autonomous.', 'A collection of Knative-style Bindings and helper libraries for talking to various services.', 'http detection stuff, same as buildpackstuff but deals with http signatures', 'Bullet Journal on the command line.', 'Knative API definition for caching abstractions.', 'Auditing for TLS certificates (Go code)', 'Supply Chain Security in Tekton Pipelines', 'A CLI for interacting with Tekton!', 'Knative developer experience, docs, reference Knative CLI implementation ', 'Go client for Kubernetes.', 'Playground for authoring CloudEvents functions in golang', 'Proof of concept Event Source for Google Cloud Scheduler for Knative', 'Cloud SQL proxy client and Go library', 'Simple controller that makes running things simpler in some cases', 'Kubernetes community content', 'Knative governance and community material. ', 'Community documentation for the Tekton project']"
